HIP,_RA_icrs,_DE_icrs,Vmag,Plx
58001,178.45769772,53.69476008,2.41,38.99
59196,182.08958257,-50.72242559,2.58,8.25
59747,183.78631548,-58.74892785,2.79,8.96
59803,183.95154259,-17.54192947,2.58,19.78
60718,186.64956584,-63.09909166,0.77,10.17
60965,187.4660642,-16.51543255,2.94,37.11
61084,187.79149709,-57.11321169,1.59,37.09
61359,188.59681092,-23.39675917,2.65,23.34
61585,189.29590999,-69.13556382,2.69,10.67
61932,190.37932752,-48.95988844,2.2,25.01
61941,190.41517626,-1.44937487,2.74,84.53
62434,191.93026305,-59.68876362,1.25,9.25
62956,193.50728928,55.95982116,1.76,40.3
63125,194.00694736,38.3183798,2.89,29.6
63608,195.54415463,10.95915037,2.85,31.9
64962,199.73040326,-23.17151233,2.99,24.69
65109,200.14924004,-36.71229493,2.75,55.64
65378,200.9814288,54.92536175,2.23,41.73
65474,201.29824701,-11.16132203,0.98,12.44
66657,204.97191001,-53.46639378,2.29,8.68
67301,206.88515682,49.31326506,1.85,32.39
67927,208.67116138,18.39771704,2.68,88.17
68002,208.88494064,-47.28837511,2.55,8.48
68702,210.95585201,-60.37303931,0.61,6.21
68933,211.67061857,-36.36995445,2.06,53.52
69673,213.9153001,19.1824103,-0.05,88.85
71352,218.87676586,-42.15782447,2.33,10.57
71681,219.89617026,-60.83715604,1.35,742.12
71683,219.90206584,-60.83397468,-0.01,742.12
71860,220.48231508,-47.38820014,2.3,5.95
72105,221.24674043,27.07422244,2.35,15.55
72607,222.67636006,74.15550491,2.07,25.79
72622,222.71963807,-16.04177818,2.75,42.25
73273,224.63302849,-43.13396008,2.68,6.23
74785,229.25172845,-9.3829174,2.61,20.38
74946,229.72742565,-68.67954501,2.87,17.85
76267,233.67195048,26.71469302,2.22,43.65
76297,233.78519974,-41.166757,2.8,5.75
77070,236.06697851,6.42562699,2.63,44.54
77952,238.78567608,-63.43072662,2.83,81.24
78265,239.71297035,-26.11410529,2.89,7.1
78401,240.08335942,-22.62170993,2.29,8.12
78820,241.35929462,-19.80545336,2.56,6.15
79593,243.58641439,-3.69432297,2.73,19.16
80112,245.29715015,-25.59279641,2.9,4.44
80331,245.9978587,61.51421312,2.73,37.18
80763,247.35192046,-26.43200249,1.06,5.4
80816,247.55499986,21.48961328,2.78,22.07
81266,248.97064054,-28.21601625,2.82,7.59
81377,249.28974079,-10.56708997,2.54,7.12
81693,250.32150123,31.60272561,2.81,92.63
82273,252.16622864,-69.02771504,1.91,7.85
82396,252.54088739,-34.29323171,2.29,49.85
84012,257.59453052,-15.72491023,2.43,38.77
84345,258.66191003,14.39033281,2.78,8.53
85258,261.32495294,-55.52988403,2.84,5.41
85670,262.60817511,52.30138713,2.79,9.02
85696,262.69098221,-37.29581099,2.7,6.29
85792,262.96038867,-49.8761448,2.84,13.46
85927,263.40216661,-37.10382115,1.62,4.64
86032,263.73362733,12.56003477,2.08,69.84
86228,264.32971086,-42.99782386,1.86,11.99
86670,265.62197877,-39.02998302,2.39,7.03
86742,265.86813797,4.56730281,2.76,39.78
87073,266.89617277,-40.12699753,2.99,1.82
87833,269.15154113,51.48889499,2.24,22.1
88635,271.45202872,-30.42409129,2.98,33.94
89931,275.24850731,-29.82810326,2.72,10.67
90185,276.04299301,-34.38461611,1.79,22.55
90496,276.99266896,-25.42170011,2.82,42.2
91262,279.23473511,38.7836918,0.03,128.93
92855,283.81635716,-26.29672225,2.05,14.54
93506,285.65297476,-29.88010539,2.6,36.61
93747,286.35253418,13.86347817,2.99,39.18
94141,287.44097099,-21.02361486,2.88,7.41
97165,296.24365768,45.13080969,2.86,19.07
97278,296.56491454,10.6132612,2.72,7.08
97649,297.69582916,8.86832198,0.76,194.44
100453,305.5570912,40.25667924,2.23,2.14
100751,306.41190763,-56.7350901,1.94,17.8
102098,310.35797809,45.280338,1.25,1.01
102488,311.55284473,33.9702561,2.48,45.26
105199,319.64488119,62.58557261,2.45,66.84
106278,322.88972517,-5.57117221,2.9,5.33
107315,326.04649214,9.87501126,2.38,4.85
107556,326.76018807,-16.12728595,2.85,84.58
109074,331.4459822,-0.3198507,2.95,4.3
109268,332.0582728,-46.96097543,1.73,32.16
110130,334.62539235,-60.25958759,2.87,16.42
112122,340.66687781,-46.8845769,2.07,19.17
112158,340.75057261,30.2212452,2.93,15.18
113368,344.41269372,-29.62223615,1.17,130.08
113881,345.94357301,28.08278909,2.44,16.37
113963,346.19022409,15.20526442,2.49,23.36
